HeartRate,SpO2,HealthStatus
30,0,Undetermined
30,1,Undetermined
30,2,Undetermined
30,3,Undetermined
30,4,Undetermined
30,5,Undetermined
30,6,Undetermined
30,7,Undetermined
30,8,Undetermined
30,9,Undetermined
30,10,Undetermined
30,11,Undetermined
30,12,Undetermined
30,13,Undetermined
30,14,Undetermined
30,15,Undetermined
30,16,Undetermined
30,17,Undetermined
30,18,Undetermined
30,19,Undetermined
30,20,Undetermined
30,21,Undetermined
30,22,Undetermined
30,23,Undetermined
30,24,Undetermined
30,25,Undetermined
30,26,Undetermined
30,27,Undetermined
30,28,Undetermined
30,29,Undetermined
30,30,Undetermined
30,31,Undetermined
30,32,Undetermined
30,33,Undetermined
30,34,Undetermined
30,35,Undetermined
30,36,Undetermined
30,37,Undetermined
30,38,Undetermined
30,39,Undetermined
30,40,Undetermined
30,41,Undetermined
30,42,Undetermined
30,43,Undetermined
30,44,Undetermined
30,45,Undetermined
30,46,Undetermined
30,47,Undetermined
30,48,Undetermined
30,49,Undetermined
30,50,Undetermined
30,51,Undetermined
30,52,Undetermined
30,53,Undetermined
30,54,Undetermined
30,55,Undetermined
30,56,Undetermined
30,57,Undetermined
30,58,Undetermined
30,59,Undetermined
30,60,Undetermined
30,61,Undetermined
30,62,Undetermined
30,63,Undetermined
30,64,Undetermined
30,65,Undetermined
30,66,Undetermined
30,67,Undetermined
30,68,Undetermined
30,69,Undetermined
30,70,Undetermined
30,71,Undetermined
30,72,Undetermined
30,73,Undetermined
30,74,Undetermined
30,75,Undetermined
30,76,Undetermined
30,77,Undetermined
30,78,Undetermined
30,79,Undetermined
30,80,Undetermined
30,81,Undetermined
30,82,Undetermined
30,83,Undetermined
30,84,Undetermined
30,85,Undetermined
30,86,Undetermined
30,87,Undetermined
30,88,Undetermined
30,89,Undetermined
30,90,Undetermined
30,91,Undetermined
30,92,Undetermined
30,93,Undetermined
30,94,Undetermined
30,95,Undetermined
30,96,Undetermined
30,97,Undetermined
30,98,Undetermined
30,99,Undetermined
30,100,Undetermined
31,0,Undetermined
31,1,Undetermined
31,2,Undetermined
31,3,Undetermined
31,4,Undetermined
31,5,Undetermined
31,6,Undetermined
31,7,Undetermined
31,8,Undetermined
31,9,Undetermined
31,10,Undetermined
31,11,Undetermined
31,12,Undetermined
31,13,Undetermined
31,14,Undetermined
31,15,Undetermined
31,16,Undetermined
31,17,Undetermined
31,18,Undetermined
31,19,Undetermined
31,20,Undetermined
31,21,Undetermined
31,22,Undetermined
31,23,Undetermined
31,24,Undetermined
31,25,Undetermined
31,26,Undetermined
31,27,Undetermined
31,28,Undetermined
31,29,Undetermined
31,30,Undetermined
31,31,Undetermined
31,32,Undetermined
31,33,Undetermined
31,34,Undetermined
31,35,Undetermined
31,36,Undetermined
31,37,Undetermined
31,38,Undetermined
31,39,Undetermined
31,40,Undetermined
31,41,Undetermined
31,42,Undetermined
31,43,Undetermined
31,44,Undetermined
31,45,Undetermined
31,46,Undetermined
31,47,Undetermined
31,48,Undetermined
31,49,Undetermined
31,50,Undetermined
31,51,Undetermined
31,52,Undetermined
31,53,Undetermined
31,54,Undetermined
31,55,Undetermined
31,56,Undetermined
31,57,Undetermined
31,58,Undetermined
31,59,Undetermined
31,60,Undetermined
31,61,Undetermined
31,62,Undetermined
31,63,Undetermined
31,64,Undetermined
31,65,Undetermined
31,66,Undetermined
31,67,Undetermined
31,68,Undetermined
31,69,Undetermined
31,70,Undetermined
31,71,Undetermined
31,72,Undetermined
31,73,Undetermined
31,74,Undetermined
31,75,Undetermined
31,76,Undetermined
31,77,Undetermined
31,78,Undetermined
31,79,Undetermined
31,80,Undetermined
31,81,Undetermined
31,82,Undetermined
31,83,Undetermined
31,84,Undetermined
31,85,Undetermined
31,86,Undetermined
31,87,Undetermined
31,88,Undetermined
31,89,Undetermined
31,90,Undetermined
31,91,Undetermined
31,92,Undetermined
31,93,Undetermined
31,94,Undetermined
31,95,Undetermined
31,96,Undetermined
